Shipment ID	FBA16SHH0T05
Name	FBA STA (07/22/2022 18:45)-GYR2
Plan ID	
Ship To	GYR2
Total SKUs	3
Total Units	184

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
ARLO-DOORBELL-AVD1001-100NAS	Arlo Essential Wired Video Doorbell - HD Video, 180Â° View, Night Vision, 2 Way Audio, Direct to Wi-Fi No Hub Needed, Easy Installation (existing doorbell wiring required), White - AVD1001	B07YMV9VMT	X0033T0M9Z	UPC: 193108139779	New	No prep required	"--"	Merchant	24
LIQUIDIV-SUPP-POWDER-16-ACAIBERRY-1PK-2	Liquid IV, Hydration Multiplier Acai Berry 16 Count, 256 Gram	B07SFBT2GQ	X003B3GSA5	UPC: 851741008004	New	No prep required	"--"	Merchant	140
NINJA-BLENDER-QB3001SS-BLK	Ninja QB3001SS Fit Compact Personal Blender, Pulse Technology, 700-Watts, for Smoothies, Frozen Blending, Ice Crushing, Nutrient Extraction*,Food Prep & More, (2) 16-oz. To-Go Cups & Spout Lids, Black	B01FHOWYA2	X003B8ASFB	UPC: 622356537070	New	No prep required	"--"	Merchant	20
